company,pwi,rank,enforced,n_pairs,n_contradictions,density,severity
microsoft,1.0,1,0,1,1,1.0,0.9989
tesla,0.736,2,0,21,11,0.5238,0.9474
linkedin,0.5606,3,1,13,1,0.0769,1.0436
venmo,0.5082,4,0,38,4,0.1053,0.9105
jasper,0.5004,5,0,17,1,0.0588,0.9414
motorola-solutions,0.2999,6,0,26,1,0.0385,0.561
anduril,0.0,7,0,1,0,0.0,0.0
bumble,0.0,8,1,19,0,0.0,0.0
github,0.0,9,0,6,0,0.0,0.0
hilton,0.0,10,0,12,0,0.0,0.0
khan-academy,0.0,11,0,4,0,0.0,0.0
meta,0.0,12,1,99,0,0.0,0.0
northrop-grumman,0.0,13,0,5,0,0.0,0.0
pimeyes,0.0,14,0,10,0,0.0,0.0
united-airlines,0.0,15,0,19,0,0.0,0.0
xiaomi,0.0,16,0,17,0,0.0,0.0
zillow,0.0,17,0,10,0,0.0,0.0
